Timestamp,Event Type,Details
2026-02-15 20:02:53,RUNNING,Track ID 8
2026-02-15 20:02:53,RUNNING,Track ID 8
2026-02-15 20:02:53,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:54,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:55,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:56,RUNNING,Track ID 8
2026-02-15 20:02:57,RUNNING,Track ID 8
2026-02-15 20:02:57,RUNNING,Track ID 8
2026-02-15 20:02:57,RUNNING,Track ID 8
